yearID,lgID,teamID,franchID,name,G,W,L,R,RA,ERA,HR,RunDiff,logHR1,logERA,season_date,team_year
2000,AL,ANA,ANA,Anaheim Angels,162,82,80,864,869,5.0,236,-5,5.4680601411351315,1.791759469228055,2000-07-01,ANA_2000
2001,AL,ANA,ANA,Anaheim Angels,162,75,87,691,730,4.2,158,-39,5.0689042022202315,1.6486586255873816,2001-07-01,ANA_2001
2002,AL,ANA,ANA,Anaheim Angels,162,99,63,851,644,3.69,152,207,5.030437921392435,1.5454325824581878,2002-07-01,ANA_2002
2003,AL,ANA,ANA,Anaheim Angels,162,77,85,736,743,4.28,150,-7,5.017279836814924,1.6639260977181702,2003-07-01,ANA_2003
2004,AL,ANA,ANA,Anaheim Angels,162,92,70,836,734,4.28,162,102,5.093750200806762,1.6639260977181702,2004-07-01,ANA_2004
2005,AL,LAA,ANA,Los Angeles Angels of Anaheim,162,95,67,761,643,3.68,147,118,4.997212273764115,1.5432981099295553,2005-07-01,LAA_2005
2006,AL,LAA,ANA,Los Angeles Angels of Anaheim,162,89,73,766,732,4.04,159,34,5.075173815233827,1.6174060820832772,2006-07-01,LAA_2006
2007,AL,LAA,ANA,Los Angeles Angels of Anaheim,162,94,68,822,731,4.23,123,91,4.820281565605037,1.6544112780768316,2007-07-01,LAA_2007
2008,AL,LAA,ANA,Los Angeles Angels of Anaheim,162,100,62,765,697,3.99,159,68,5.075173815233827,1.6074359097634274,2008-07-01,LAA_2008
2009,AL,LAA,ANA,Los Angeles Angels of Anaheim,162,97,65,883,761,4.45,173,122,5.159055299214529,1.6956156086751528,2009-07-01,LAA_2009
2010,AL,LAA,ANA,Los Angeles Angels of Anaheim,162,80,82,681,702,4.04,155,-21,5.049856007249537,1.6174060820832772,2010-07-01,LAA_2010
2011,AL,LAA,ANA,Los Angeles Angels of Anaheim,162,86,76,667,633,3.57,155,34,5.049856007249537,1.5195132049061133,2011-07-01,LAA_2011
2012,AL,LAA,ANA,Los Angeles Angels of Anaheim,162,89,73,767,699,4.02,187,68,5.236441962829949,1.6134299337036377,2012-07-01,LAA_2012
2013,AL,LAA,ANA,Los Angeles Angels of Anaheim,162,78,84,733,737,4.23,164,-4,5.10594547390058,1.6544112780768316,2013-07-01,LAA_2013
2014,AL,LAA,ANA,Los Angeles Angels of Anaheim,162,98,64,773,630,3.58,155,143,5.049856007249537,1.5216989981260935,2014-07-01,LAA_2014
2015,AL,LAA,ANA,Los Angeles Angels of Anaheim,162,85,77,661,675,3.94,176,-14,5.176149732573829,1.597365331199831,2015-07-01,LAA_2015
2016,AL,LAA,ANA,Los Angeles Angels of Anaheim,162,74,88,717,727,4.28,156,-10,5.056245805348308,1.6639260977181702,2016-07-01,LAA_2016
2017,AL,LAA,ANA,Los Angeles Angels of Anaheim,162,80,82,710,709,4.2,186,1,5.231108616854587,1.6486586255873816,2017-07-01,LAA_2017
2018,AL,LAA,ANA,Los Angeles Angels of Anaheim,162,80,82,721,722,4.15,214,-1,5.3706380281276624,1.6389967146756448,2018-07-01,LAA_2018
2019,AL,LAA,ANA,Los Angeles Angels of Anaheim,162,72,90,769,868,5.12,220,-99,5.3981627015177525,1.8115620965242347,2019-07-01,LAA_2019
2000,NL,ARI,ARI,Arizona Diamondbacks,162,85,77,792,754,4.35,179,38,5.19295685089021,1.6770965609079151,2000-07-01,ARI_2000
2001,NL,ARI,ARI,Arizona Diamondbacks,162,92,70,818,677,3.87,208,141,5.342334251964811,1.5830939370944985,2001-07-01,ARI_2001
2002,NL,ARI,ARI,Arizona Diamondbacks,162,98,64,819,674,3.92,165,145,5.111987788356544,1.5933085305042167,2002-07-01,ARI_2002
2003,NL,ARI,ARI,Arizona Diamondbacks,162,84,78,717,685,3.84,152,32,5.030437921392435,1.5769147207285403,2003-07-01,ARI_2003
2004,NL,ARI,ARI,Arizona Diamondbacks,162,51,111,615,899,4.98,135,-284,4.912654885736052,1.7884205679625405,2004-07-01,ARI_2004
2005,NL,ARI,ARI,Arizona Diamondbacks,162,77,85,696,856,4.84,191,-160,5.2574953720277815,1.7647307968401356,2005-07-01,ARI_2005
2006,NL,ARI,ARI,Arizona Diamondbacks,162,76,86,773,788,4.48,160,-15,5.081404364984463,1.7011051009599243,2006-07-01,ARI_2006
