yearID,teamID,name,W,variable,low_threshold,high_threshold,HR,logHR1,R,G,L
2003,DET,Detroit Tigers,43.0,W,45.0,117.0,,,,,
2019,HOU,Houston Astros,,HR,71.5,275.5,288.0,,,,
2019,LAN,Los Angeles Dodgers,,HR,71.5,275.5,279.0,,,,
2019,MIN,Minnesota Twins,,HR,71.5,275.5,307.0,,,,
2019,NYA,New York Yankees,,HR,71.5,275.5,306.0,,,,
2011,SDN,San Diego Padres,,logHR1,4.5623897150415935,5.739873957451902,,4.5217885770490405,,,
2008,SFN,San Francisco Giants,,logHR1,4.5623897150415935,5.739873957451902,,4.553876891600541,,,
2000,CHA,Chicago White Sox,,R,517.125,962.125,,,978.0,,
2000,COL,Colorado Rockies,,R,517.125,962.125,,,968.0,,
2013,MIA,Miami Marlins,,R,517.125,962.125,,,513.0,,
2007,NYA,New York Yankees,,R,517.125,962.125,,,968.0,,
2010,SEA,Seattle Mariners,,R,517.125,962.125,,,513.0,,
2002,ATL,Atlanta Braves,,G,162.0,162.0,,,,161.0,
2016,ATL,Atlanta Braves,,G,162.0,162.0,,,,161.0,
2003,BAL,Baltimore Orioles,,G,162.0,162.0,,,,163.0,
2008,BAL,Baltimore Orioles,,G,162.0,162.0,,,,161.0,
2001,BOS,Boston Red Sox,,G,162.0,162.0,,,,161.0,
2008,CHN,Chicago Cubs,,G,162.0,162.0,,,,161.0,
2009,CHN,Chicago Cubs,,G,162.0,162.0,,,,161.0,
2018,CHN,Chicago Cubs,,G,162.0,162.0,,,,163.0,
2008,CHA,Chicago White Sox,,G,162.0,162.0,,,,163.0,
2019,CHA,Chicago White Sox,,G,162.0,162.0,,,,161.0,
2000,CIN,Cincinnati Reds,,G,162.0,162.0,,,,163.0,
2005,CIN,Cincinnati Reds,,G,162.0,162.0,,,,163.0,
2015,CLE,Cleveland Indians,,G,162.0,162.0,,,,161.0,
2016,CLE,Cleveland Indians,,G,162.0,162.0,,,,161.0,
2007,COL,Colorado Rockies,,G,162.0,162.0,,,,163.0,
2018,COL,Colorado Rockies,,G,162.0,162.0,,,,163.0,
2002,DET,Detroit Tigers,,G,162.0,162.0,,,,161.0,
2009,DET,Detroit Tigers,,G,162.0,162.0,,,,163.0,
2015,DET,Detroit Tigers,,G,162.0,162.0,,,,161.0,
2016,DET,Detroit Tigers,,G,162.0,162.0,,,,161.0,
2019,DET,Detroit Tigers,,G,162.0,162.0,,,,161.0,
2000,FLO,Florida Marlins,,G,162.0,162.0,,,,161.0,
2008,FLO,Florida Marlins,,G,162.0,162.0,,,,161.0,
2016,MIA,Miami Marlins,,G,162.0,162.0,,,,161.0,
2018,MIA,Miami Marlins,,G,162.0,162.0,,,,161.0,
2005,HOU,Houston Astros,,G,162.0,162.0,,,,163.0,
2008,HOU,Houston Astros,,G,162.0,162.0,,,,161.0,
2011,LAN,Los Angeles Dodgers,,G,162.0,162.0,,,,161.0,
2018,LAN,Los Angeles Dodgers,,G,162.0,162.0,,,,163.0,
2000,MIL,Milwaukee Brewers,,G,162.0,162.0,,,,163.0,
2004,MIL,Milwaukee Brewers,,G,162.0,162.0,,,,161.0,
2018,MIL,Milwaukee Brewers,,G,162.0,162.0,,,,163.0,
2002,MIN,Minnesota Twins,,G,162.0,162.0,,,,161.0,
2008,MIN,Minnesota Twins,,G,162.0,162.0,,,,163.0,
2009,MIN,Minnesota Twins,,G,162.0,162.0,,,,163.0,
2002,NYN,New York Mets,,G,162.0,162.0,,,,161.0,
2003,NYN,New York Mets,,G,162.0,162.0,,,,161.0,
2000,NYA,New York Yankees,,G,162.0,162.0,,,,161.0,
2001,NYA,New York Yankees,,G,162.0,162.0,,,,161.0,
2002,NYA,New York Yankees,,G,162.0,162.0,,,,161.0,
2003,NYA,New York Yankees,,G,162.0,162.0,,,,163.0,
2000,OAK,Oakland Athletics,,G,162.0,162.0,,,,161.0,
2008,OAK,Oakland Athletics,,G,162.0,162.0,,,,161.0,
2002,PHI,Philadelphia Phillies,,G,162.0,162.0,,,,161.0,
2002,PIT,Pittsburgh Pirates,,G,162.0,162.0,,,,161.0,
2004,PIT,Pittsburgh Pirates,,G,162.0,162.0,,,,161.0,
2009,PIT,Pittsburgh Pirates,,G,162.0,162.0,,,,161.0,
2018,PIT,Pittsburgh Pirates,,G,162.0,162.0,,,,161.0,
2007,SDN,San Diego Padres,,G,162.0,162.0,,,,163.0,
2003,SFN,San Francisco Giants,,G,162.0,162.0,,,,161.0,
2006,SFN,San Francisco Giants,,G,162.0,162.0,,,,161.0,
2006,SLN,St. Louis Cardinals,,G,162.0,162.0,,,,161.0,
2000,TBA,Tampa Bay Devil Rays,,G,162.0,162.0,,,,161.0,
2002,TBA,Tampa Bay Devil Rays,,G,162.0,162.0,,,,161.0,
2004,TBA,Tampa Bay Devil Rays,,G,162.0,162.0,,,,161.0,
2013,TBA,Tampa Bay Rays,,G,162.0,162.0,,,,163.0,
2013,TEX,Texas Rangers,,G,162.0,162.0,,,,163.0,
2004,TOR,Toronto Blue Jays,,G,162.0,162.0,,,,161.0,
2008,WAS,Washington Nationals,,G,162.0,162.0,,,,161.0,
2011,WAS,Washington Nationals,,G,162.0,162.0,,,,161.0,
2003,DET,Detroit Tigers,,L,45.0,117.0,,,,,119.0
