Modelo,Fórmula,"gl (modelo,resid)",F global,p(F),Término,β,EE(β),t,p(t),CI95% inf,CI95% sup,Signif. 5%,R2,R2_adj,N
Lineal: W ~ RunDiff,W ~ RunDiff,"(1,598)",4498.479416,0.000000,Intercept,80.970000,0.164963,490.837925,0.000000,80.646023,81.293977,Sí,0.882664,0.882468,600
Lineal: W ~ RunDiff,W ~ RunDiff,"(1,598)",4498.479416,0.000000,RunDiff,0.099664,0.001486,67.070705,0.000000,0.096746,0.102583,Sí,0.882664,0.882468,600
Lineal: W ~ ERA,W ~ ERA,"(1,598)",450.368361,0.000000,Intercept,142.322107,2.913773,48.844610,0.000000,136.599634,148.044579,Sí,0.429590,0.428636,600
Lineal: W ~ ERA,W ~ ERA,"(1,598)",450.368361,0.000000,ERA,-14.442586,0.680552,-21.221884,0.000000,-15.779148,-13.106025,Sí,0.429590,0.428636,600
Lineal: W ~ HR,W ~ HR,"(1,598)",108.575442,0.000000,Intercept,59.230312,2.132873,27.770203,0.000000,55.041480,63.419144,Sí,0.153664,0.152249,600
Lineal: W ~ HR,W ~ HR,"(1,598)",108.575442,0.000000,HR,0.125326,0.012028,10.419954,0.000000,0.101705,0.148947,Sí,0.153664,0.152249,600
Lineal: W ~ log(HR+1),W ~ logHR1,"(1,598)",107.363107,0.000000,Intercept,-29.323832,10.653693,-2.752457,0.006095,-50.247035,-8.400630,Sí,0.152210,0.150792,600
Lineal: W ~ log(HR+1),W ~ logHR1,"(1,598)",107.363107,0.000000,logHR1,21.461450,2.071245,10.361617,0.000000,17.393651,25.529250,Sí,0.152210,0.150792,600
Cuadrático: W ~ RunDiff + RunDiff^2,W ~ RunDiff + I(RunDiff**2),"(2,597)",2263.856358,0.000000,Intercept,81.242461,0.210418,386.101152,0.000000,80.829212,81.655709,Sí,0.883506,0.883115,600
Cuadrático: W ~ RunDiff + RunDiff^2,W ~ RunDiff + I(RunDiff**2),"(2,597)",2263.856358,0.000000,RunDiff,0.099409,0.001487,66.855363,0.000000,0.096489,0.102330,Sí,0.883506,0.883115,600
Cuadrático: W ~ RunDiff + RunDiff^2,W ~ RunDiff + I(RunDiff**2),"(2,597)",2263.856358,0.000000,I(RunDiff ** 2),-0.000022,0.000011,-2.076723,0.038254,-0.000043,-0.000001,Sí,0.883506,0.883115,600
